code,name_french,isco88,name_english
2659,"Aerialist, divertissement",3474,"Aerialist, entertainment"
3421,"Aviateur, sport",3475,"Aerialist, sport"
2111,Aerodynamicist,2111,Aerodynamicist
7232,Aéromécanique,7232,Aeromechanic
4221,"Agent, réservation: voyage",4221,"Agent, booking: travel"
4221,"Agent, enregistrement",4221,"Agent, check-in"
3331,Agents concessionnaires,3422,"Agent, clearing"
4222,"Agent, assistance annuaire",4222,"Agent, directory assistance"
3333,"Agent, emploi",3423,"Agent, employment"
3334,Agents immobiliers,3413,"Agent, estate"
3331,"Agent, exportation",3422,"Agent, export"
2132,"Agent, service sur le terrain: agriculture",3213,"Agent, field service: agriculture"
3331,"Agent, transfert",3422,"Agent, forwarding"
3321,"Agent, assurance collective",3412,"Agent, group insurance"
3334,"Agent, maison",3413,"Agent, house"
3331,"Agent, importation",3422,"Agent, import"
3355,"Agent, enquête : police",3450,"Agent, inquiry: police"
3411,"Agent, enquête: privé",3450,"Agent, inquiry: private"
3321,Agents d'assurances,3412,"Agent, insurance"
5223,"Agent, leasing : véhicule",5220,"Agent, leasing: vehicle"
3339,"Agent, littéraire",3429,"Agent, literary"
3339,"Agent, performance musicale",3429,"Agent, musical performance"
3339,"Agent, brevet",2419,"Agent, patent"
3323,"Agent, approvisionnement",3416,"Agent, procurement"
3334,"Agent, propriété",3413,"Agent, property"
2432,"Agent, publicité",2419,"Agent, publicity"
3323,"Agent, achats",3416,"Agent, purchasing"
3334,"Agent, immobilier",3413,"Agent, real estate"
3334,"Agent, location: appartement",3413,"Agent, rental: apartment"
3334,"Agent, location: logement",3413,"Agent, rental: housing"
3322,"Agent, ventes: commercial",3415,"Agent, sales: commercial"
2434,"Agent, ventes : communications (technologie)",3415,"Agent, sales: communications (technology)"
2434,"Agent, ventes: ordinateur (systèmes)",3415,"Agent, sales: computer (systems)"
2433,"Agent, ventes: ingénierie",3415,"Agent, sales: engineering"
2434,"Agent, ventes : technologie de l’information",3415,"Agent, sales: information technology"
3321,"Agent, ventes: assurance",3412,"Agent, sales: insurance"
3322,"Agent, ventes: fabrication",3415,"Agent, sales: manufacturing"
2433,"Agent, ventes: médical",3415,"Agent, sales: medical"
2433,"Agent, ventes : technique",3415,"Agent, sales: technical"
3331,"Agent, expédition",3422,"Agent, shipping"
3339,"Agent, sports",3429,"Agent, sports"
3512,"Agent, support technique : technologie de l’information",3121,"Agent, technical support: information technology"
3339,"Agent, théâtral",3429,"Agent, theatrical"
4221,"Agent, billet: compagnie aérienne",4221,"Agent, ticket: airline"
5230,"Agent, billet: animations et événements sportifs",4211,"Agent, ticket: entertainment and sporting events"
4221,"Agent, billet: voyage",4221,"Agent, ticket: travel"
4221,"Agent, voyage",1319,"Agent, travel"
2132,Agriculteur,2213,Agriculturist
2132,Agronome,2213,Agrologist
2132,Agronomes et assimilés,2213,Agronomist
3253,Agents de santé communautaire,3221,"Aide, community health "
5329,"Aide, dentaire",5132,"Aide, dental"
5322,"Aide, soins à domicile",5133,"Aide, home care"
5321,"Aide, soins infirmiers: clinique",5132,"Aide, nursing: clinic"
5322,"Aide, soins infirmiers: maison",5133,"Aide, nursing: home"
5321,"Aide, soins infirmiers: hôpital",5132,"Aide, nursing: hospital"
5329,"Aide, pharmacie",5139,"Aide, pharmacy"
5312,"Aide, préscolaire",5131,"Aide, pre-school"
5321,"Aide, psychiatrique",5132,"Aide, psychiatric"
5329,"Aide, stérilisation",5139,"Aide, sterilization"
5312,"Aide, enseignant",5131,"Aide, teacher's"
3255,"Aide, thérapeute : physiothérapie",3226,"Aide, therapist: physiotherapy"
3255,"Aide, thérapie: physiothérapie",3226,"Aide, therapy: physiotherapy"
5164,"Aide, vétérinaire",5139,"Aide, veterinary"
310,"Femme d’équipage, marine",110,"Aircrew woman, navy"
310,"Aviateur, marine",110,"Aircrewman, navy"
310,"Aviateur, force aérienne",110,"Airman, air force"
210,Sous-officiers des forces armées,110,"Airman, air force: warrant officer"
310,"Aviatrice, armée de l’air",110,"Airwoman, air force"
210,"Aviatrice, armée de l’air : adjudant",110,"Airwoman, air force: warrant officer"
1111,Échevin,1110,Alderman
1111,Échevine,1110,Alderwoman
2212,"Allergologue, clinique",2221,"Allergist, clinical"
3412,"Almoner, professionnel associé",3460,"Almoner, associate professional"
2635,"Aumônier, professionnel",2446,"Almoner, professional"
1112,Ambassadeur,1120,Ambassador
3258,Ambulanciers,5132,Ambulanceman
3258,Ambulancière,5132,Ambulancewoman
2212,Anesthésiste,2221,Anaesthesiologist
2212,Anesthésiste,2221,Anaesthetist
2221,"Anesthésiste, infirmière",2230,"Anaesthetist, nurse"
2133,"Analyste, pollution de l’air",2211,"Analyst, air pollution"
3512,"Analyste, support applicatif",3121,"Analyst, application support"
2413,"Analyste, obligation",2419,"Analyst, bond"
2631,"Analyste, affaires: économie",2441,"Analyst, business: economics"
2511,"Analyste, entreprise : TI",2131,"Analyst, business: IT"
2511,"Analyste, entreprise : conception de systèmes",2131,"Analyst, business: systems design"
2519,"Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs",2131,"Analyst, business: testing software"
2523,"Analyste, communications : ordinateurs",2131,"Analyst, communications: computers"
2432,"Analyste, communications : sauf ordinateurs",2419,"Analyst, communications: except computers"
2511,"Analyste, informatique : analyse d’affaires",2131,"Analyst, computer: business analysis"
3512,"Analyste, ordinateur: helpdesk",3121,"Analyst, computer: helpdesk"
3512,"Analyste, ordinateur : support logiciel",3121,"Analyst, computer: software support"
2519,"Analyste, ordinateur : logiciel de test",2131,"Analyst, computer: testing software"
2421,"Analyste, coût",2419,"Analyst, cost"
3312,"Analyste, crédit : évaluation de crédit ou de prêts",3419,"Analyst, credit: assessing credit or loans"
2529,"Analyste, exploration de données",2139,"Analyst, data mining"
2521,Spécialistes des bases de données,2131,"Analyst, database"
3512,"Analyste, bureau : support",3121,"Analyst, desktop: support"
2631,"Analyste, économique",2441,"Analyst, economic"
2143,"Analyste, environnement",2149,"Analyst, environmental"
3312,"Analyste, finances : évaluation de la solvabilité des clients",3419,"Analyst, financial: assessing credit worthiness of clients"
2413,Analystes financiers,2419,"Analyst, financial: investments "
3512,"Analyste, service d’assistance",3121,"Analyst, helpdesk"
2511,"Analyste, systèmes d’information",2131,"Analyst, information systems"
2522,"Analyste, infrastructure : administration des systèmes",2131,"Analyst, infrastructure: systems administration"
2422,"Analyste, renseignement",2419,"Analyst, intelligence"
2413,"Analyste, investissement",2419,"Analyst, investment"
3512,"Analyste, service d’assistance informatique",3121,"Analyst, IT helpdesk"
2423,"Analyste, emploi",2412,"Analyst, job"
2133,"Analyste, dégradation des terres",2211,"Analyst, land degradation"
3312,"Analyste, prêts",3419,"Analyst, loans"
2421,"Analystes, gestion et organisation",2419,"Analyst, management"
2431,"Analyste, marché : étude",2419,"Analyst, market: research"
3252,"Analyste, dossiers médicaux",4143,"Analyst, medical records"
2523,Spécialistes des réseaux d'ordinateurs,2131,"Analyst, network"
2423,"Analyste, professionnel",2412,"Analyst, occupational"
2120,"Analyste, recherche opérationnelle",2121,"Analyst, operations research"
2421,"Analyste, organisation et méthodes",2419,"Analyst, organization and methods"
3512,"Analyste, support PC",3121,"Analyst, PC support"
2422,"Analyste, politique",2419,"Analyst, policy"
2512,"Analyste, programme: ordinateurs",2131,"Analyst, programme: computers"
2512,"Analyste, programmeur",2131,"Analyst, programmer"
2634,"Analyste, psychologique",2445,"Analyst, psychological"
2519,"Analyste, assurance qualité : ordinateurs",2131,"Analyst, quality assurance: computers"
3312,"Analyste, risque : évaluation de la solvabilité des clients",3419,"Analyst, risk: assessing credit worthiness of clients"
2511,"Analyste, SAP",2131,"Analyst, SAP"
2413,"Analyste, valeurs mobilières",2419,"Analyst, securities"
2529,"Analyste, sécurité : ordinateur",2139,"Analyst, security: computer"
2529,"Analyste, sécurité : données",2139,"Analyst, security: data"
2529,"Analyste, sécurité : TIC",2139,"Analyst, security: ICT"
2422,"Spécialistes, administration et politiques",2419,"Analyst, security: policy"
3512,"Analyste, logiciel : support",3121,"Analyst, software: support"
2519,"Analyste, logiciel : tests",2131,"Analyst, software: testing"
2422,"Analyste, stratégie",2419,"Analyst, strategy"
2511,Analystes de systèmes,2131,"Analyst, systems: computers"
2149,"Spécialistes, sciences techniques non classés ailleurs",2149,"Analyst, systems: except computers"
2519,"Analyste, test : logiciel",2131,"Analyst, test: software"
2422,"Analyste, trésorerie : politique gouvernementale",2419,"Analyst, treasury: government policy"
2133,"Analyste, qualité de l’eau",2211,"Analyst, water quality"
2131,Anatomiste,2212,Anatomist
2656,"Présentateur, nouvelles",3472,"Anchor, news"
2166,Animateur,3471,Animator
8121,Recuit,8123,Annealer
2656,"Annonceur, nouvelles",3472,"Announcer, news"
2656,"Annonceur, radio",3472,"Announcer, radio"
2656,"Annonceur, sports",3472,"Announcer, sports"
2656,"Annonceurs-présentateurs de radio, de télévision et autres médias",3472,"Announcer, television"
8122,Anodiser,8223,Anodiser
2632,"Sociologues, anthropologues et assimilés",2442,Anthropologist
6123,Apiculteur,6123,Apiarist
7522,"Applier, placage",7422,"Applier, veneer"
3315,Priseur,3417,Appraiser
3315,Commissaires-priseurs et autres experts en évaluation,3417,"Appraiser, real estate"
2423,"Arbitre, relations industrielles",2412,"Arbitrator, industrial relations"
6112,Arboriculteur,2213,Arboriculturist
2632,Archéologue,2442,Archaeologist
2636,Archevêque,2460,Archbishop
2636,Archidiacre,2460,Archdeacon
2161,"Architectes, bâtiment",2141,"Architect, building"
2511,"Architecte, solutions d’affaires",2131,"Architect, business solutions"
2511,"Architecte, business : analyse business",2131,"Architect, business: business analysis"
2521,"Architecte, base de données",2131,"Architect, database"
2511,"Architecte, information : analyse d’affaires",2131,"Architect, information: business analysis"
2513,"Architecte, information : informatique (site web)",2131,"Architect, information: computing (website)"
2161,"Architecte, intérieur",2141,"Architect, interior"
2162,Architectes paysagistes,2141,"Architect, landscape"
2144,"Architecte, marine",2145,"Architect, marine"
2144,"Architecte, naval",2145,"Architect, naval"
2511,"Architecte, solutions : entreprise",2131,"Architect, solutions: business"
2513,"Architecte, site web",2131,"Architect, website"
2621,Archiviste,2431,Archivist
2653,"Arrangeur, ballet",2454,"Arranger, ballet"
7549,"Arrangeur, fleur",5220,"Arranger, flower"
2652,"Arrangeur, musique",2453,"Arranger, music"
2652,"Arrangeur, musique",2453,"Arranger, music"
3435,"Artiste, corps",3471,"Artist, body"
2651,"Artiste, céramique",2452,"Artist, ceramic"
2166,"Artiste, commercial",3471,"Artist, commercial"
2166,"Artiste, numérique",3471,"Artist, digital"
2651,"Artiste, graphiste",2452,"Artist, graphic"
2659,"Artiste, high-wire",3474,"Artist, high-wire"
2651,Artistes plasticiens,2452,"Artist, landscape"
5142,"Artiste, maquillage",5141,"Artist, make-up"
2651,"Artiste, peintures",2452,"Artist, paintings"
2651,"Artiste, affiche",2452,"Artist, poster"
2653,"Artiste, strip-tease",3474,"Artist, strip-tease"
3435,"Artiste, cascadeur",3474,"Artist, stunt"
3435,"Artiste, tatouage",3471,"Artist, tattoo"
2659,"Artiste, corde raide",3474,"Artist, tight-rope"
2659,Artistes créateurs et exécutants non classés ailleurs,3474,"Artist, trapeze"
2651,Artiste-peintre,2452,Artist-painter
2146,Essayeur,2147,Assayer
8211,"Assembleur, machines agricoles",8281,"Assembler, agricultural machinery"
8211,"Assembleur, aéronef",8281,"Assembler, aircraft"
8219,"Assembleur, munitions",8290,"Assembler, ammunition"
8212,"Assembleur, armature",8282,"Assembler, armature"
8212,"Assembleur, équipement audiovisuel",8283,"Assembler, audio-visual equipment"
8219,"Assembleur, vélo",8284,"Assembler, bicycle"
8219,"Assembleur, produits en carton",8286,"Assembler, cardboard products"
8212,"Assembleur, chronomètre",8283,"Assembler, chronometer"
8212,"Assembleur, horloge",8283,"Assembler, clock"
8219,"Assembleur, produits composites",8290,"Assembler, composite products"
8219,"Assembleur, porte",8290,"Assembler, door"
8211,"Assembleur, matériel de terrassement",8281,"Assembler, earth-moving equipment"
8212,Monteurs d'appareils électriques et électroniques,8282,"Assembler, electrical components"
8212,"Assembleur, matériel électrique",8282,"Assembler, electrical equipment"
8212,"Assembleur, équipement électromécanique",8283,"Assembler, electromechanical equipment"
8212,"Assembleur, composants électroniques",8283,"Assembler, electronic components"
8212,"Assembleur, équipement électronique",8283,"Assembler, electronic equipment"
8211,"Assembleur, moteur",8281,"Assembler, engine"
8219,Monteurs et assembleurs non classés ailleurs,8284,"Assembler, eyeglass frame"
8219,"Assembleur, meubles",8284,"Assembler, furniture"
8211,"Assembleur, boîte de vitesses",8281,"Assembler, gearbox"
8212,"Assembleur, aide auditive",8283,"Assembler, hearing aid"
8211,"Assembleur, machines industrielles",8281,"Assembler, industrial machinery"
8219,"Assembleur, bijoux",8284,"Assembler, jewellery"
8219,"Assembleur, couteau",8284,"Assembler, knife"
8219,"Assembleur, produits en cuir",8286,"Assembler, leather products"
8211,"Assembleur, machine-outil",8281,"Assembler, machine-tool"
8211,Monteurs en construction mécanique,8281,"Assembler, mechanical machinery"
8219,"Assembleur, produits métalliques: sauf mécanique",8284,"Assembler, metal products: except mechanical"
8212,"Assembleur, équipement de microélectronique",8283,"Assembler, microelectronics equipment"
8211,"Assembleur, machines minières",8281,"Assembler, mining machinery"
8212,"Assembleur, machines de bureau",8283,"Assembler, office machinery"
8219,"Assembleur, produits en carton",8286,"Assembler, paperboard products"
8219,"Assembleur, stylo et crayon",8284,"Assembler, pen and pencil"
8219,"Assembleur, produits en plastique",8284,"Assembler, plastic products"
8219,"Assembleur, jouet en plastique",8284,"Assembler, plastic toy"
8172,"Assembleur, panneau de contreplaqué",8141,"Assembler, plywood panel"
8212,"Assembleur, instrument de précision",8283,"Assembler, precision instrument"
7119,"Assembleur, bâtiment préfabriqué",7129,"Assembler, prefabricated building"
7119,"Assembleur, maisons préfabriquées",7129,"Assembler, prefabricated houses"
8211,"Assembleur, machines d’impression",8281,"Assembler, printing machinery"
8212,"Assembleur, radio",8283,"Assembler, radio"
6210,"Assembleur, radeau: exploitation forestière",6141,"Assembler, raft: logging"
8219,"Assembleur, produits en caoutchouc",8284,"Assembler, rubber products"
8211,"Assembleur, machine à vapeur",8281,"Assembler, steam engine"
8219,"Assembleur, stores solaires",8286,"Assembler, sun-blinds"
8212,"Assembleur, téléphone",8283,"Assembler, telephone"
8212,"Assembleur, télévision",8283,"Assembler, television"
8211,"Assembleur, machines textiles",8281,"Assembler, textile machinery"
8219,"Assembleur, produits textiles",8286,"Assembler, textile products"
8219,"Assembleur, bouteille thermos",8284,"Assembler, thermos bottle"
8211,"Assembleur, turbine",8281,"Assembler, turbine"
8211,"Assembleur, véhicule",8281,"Assembler, vehicle"
8212,"Assembleur, montre",8283,"Assembler, watch"
8219,"Assembleur, produits du bois",8285,"Assembler, wood products"
8211,"Assembleur, machines pour le travail du bois",8281,"Assembler, woodworking machinery"
3315,"Évaluateur, réclamations",3417,"Assessor, claims"
3312,"Évaluateur, crédit",3419,"Assessor, credit"
3315,"Évaluateur, assurance",3417,"Assessor, insurance"
3312,"Évaluateur, prêts",3419,"Assessor, loans"
3315,"Évaluateur, perte",3417,"Assessor, loss"
2424,Spécialistes de la formation du personnel,2412,"Assessor, training"
2411,"Cessionnaire, faillite",2411,"Assignee, bankruptcy"
2411,"Cessionnaire, insolvabilité",2411,"Assignee, insolvency"
3513,"Assistant , communications: TIC",3121,"Assistant , communications: ICT"
3313,Professions intermédiaires de la comptabilité,3434,"Assistant, accounting"
3314,"Adjoint, actuariat",3434,"Assistant, actuarial"
3343,"Adjointe, administrative",3431,"Assistant, administrative"
3344,"Assistante, administrative : médecins chirurgie",4115,"Assistant, administrative: doctors surgery"
3342,"Assistante, administrative : juridique",3431,"Assistant, administrative: legal"
3344,"Assistante, administrative : cabinet médical",4115,"Assistant, administrative: medical office"
3255,"Assistante, paramédicale : physiothérapie",3226,"Assistant, allied health: physiotherapy"
4211,"Assistante, banque",3432,"Assistant, bank"
3411,"Assistant, avocat",3432,"Assistant, barrister's"
5321,"Assistante, accouchement : clinique ou hôpital",5132,"Assistant, birth: clinic or hospital"
5322,Aides-soignants à domicile,5133,"Assistant, birth: home"
9313,"Assistant, maçon",9313,"Assistant, bricklayer's"
4312,"Assistant, courtier",3432,"Assistant, broker's"
9334,"Assistant, armoire : supermarché (étagère de remplissage, réfrigérateur ou congélateur)",9333,"Assistant, cabinet: supermarket (filling shelf, fridge or freezer)"
4222,"Assistant, centre d’appels",4222,"Assistant, call centre"
9313,"Assistant, menuisier",9313,"Assistant, carpenter's"
2240,Assistante clinique : diagnostic et traitement des patients,3221,"Assistant, clinical: diagnosing and treating patients"
3256,"Assistante, clinique : médecin aidant",3221,"Assistant, clinical: helping doctor"
3513,"Assistant, ordinateur : communications",3121,"Assistant, computer: communications"
3512,"Assistant, ordinateur: base de données",3121,"Assistant, computer: database"
3114,"Assistant, informatique : ingénierie (matériel)",3121,"Assistant, computer: engineering (hardware)"
3511,"Assistant, informatique : ingénierie (opérations)",3122,"Assistant, computer: engineering (operations)"
3512,"Assistant, informatique : ingénierie (support logiciel)",3121,"Assistant, computer: engineering (software support)"
3513,"Assistant, ordinateur: réseau",3121,"Assistant, computer: network"
3512,"Assistant, ordinateur: programmation",3121,"Assistant, computer: programming"
3512,"Assistant, ordinateur : analyse des systèmes",3121,"Assistant, computer: systems analysis"
3513,"Assistant, ordinateur : conception de systèmes",3121,"Assistant, computer: systems design"
3512,"Assistant, ordinateur : services aux utilisateurs",3121,"Assistant, computer: user services"
3343,"Assistante, correspondance",3431,"Assistant, correspondence"
3433,"Assistante, conservation",3471,"Assistant, curatorial"
5322,"Assistante, garderie : âgée ou handicapée",5133,"Assistant, day care: aged or disabled"
5311,"Assistante, garderie : enfants",5131,"Assistant, day care: children"
3251,"Assistante, dentaire",3225,"Assistant, dental"
3251,Assistante dentaire : service scolaire,3225,"Assistant, dental: school service"
3256,Assistants médicaux,3221,"Assistant, doctor's"
9334,"Assistante, remplissage du soir",9333,"Assistant, evening fill"
3343,"Assistante, cadre",3431,"Assistant, executive"
3342,"Assistante, cadre : juridique",3431,"Assistant, executive: legal"
9214,"Assistant, jardinier",9211,"Assistant, gardener's"
9214,"Assistante, Greenkeeper’s",9211,"Assistant, greenkeeper's"
9334,"Assistante, épicerie : remplissage d’étagères, de réfrigérateurs ou de congélateurs",9333,"Assistant, grocery: filling shelf, fridge or freezer"
5322,"Assistante, soins à domicile : âgée ou handicapée",5133,"Assistant, homecare: aged or disabled"
9214,"Assistante, pépinière horticole",9211,"Assistant, horticultural nursery"
4416,"Assistante, ressources humaines",4190,"Assistant, human resource"
3255,"Assistante, hydrothérapie",3226,"Assistant, hydrotherapy"
4312,"Assistante, assurance : ajustement",3432,"Assistant, insurance: adjustment"
4312,"Assistante, assurance : réclamations",3432,"Assistant, insurance: claims"
4312,"Assistant, assurance: police",3432,"Assistant, insurance: policy"
9412,"Assistant, cuisine",9132,"Assistant, kitchen"
3411,"Assistante, juridique",3432,"Assistant, legal"
3342,"Assistante, juridique : tâches de secrétariat",3431,"Assistant, legal: secretarial tasks"
4411,"Assistante, bibliothèque",4141,"Assistant, library"
3314,"Professions intermédiaires de la statistique , des mathématiques et assimilées",3434,"Assistant, mathematical"
5329,"Assistant, imagerie médicale",5132,"Assistant, medical imaging"
2240,Assistante médicale : diagnostic et traitement des patients,3221,"Assistant, medical: diagnosing and treating patients"
3253,Assistante médicale : planification familiale,3221,"Assistant, medical: family planning"
3256,Assistante médicale : médecin aidant,3221,"Assistant, medical: helping doctor"
9334,"Assistant, marchandise : étagère de remplissage, réfrigérateur ou congélateur",9333,"Assistant, merchandise: filling shelf, fridge or freezer"
5321,"Assistante, sage-femme : clinique ou hôpital",5132,"Assistant, midwifery: clinic or hospital"
9334,"Assistante, remplissage de nuit",9333,"Assistant, nightfill"
9214,"Assistante, pépinière : horticulture",9211,"Assistant, nursery: horticulture"
3256,"Assistante, ophtalmique",3221,"Assistant, ophthalmic"
5321,Aides-soignants en institution,5132,"Assistant, patient care"
3343,"Assistant, personnel",3431,"Assistant, personal"
3213,"Assistant, pharmaceutique",3228,"Assistant, pharmaceutical"
3213,"Assistante, pharmacie : délivrance",3228,"Assistant, pharmacy: dispensing"
5223,"Assistante, pharmacie : ventes",5220,"Assistant, pharmacy: sales"
3255,"Assistante, physiothérapie",3226,"Assistant, physiotherapy"
5312,"Assistante, préscolaire",5131,"Assistant, pre-school"
3521,"Assistante, production : médias",3131,"Assistant, production: media"
3521,"Assistant, production : cinéma",3131,"Assistant, production: motion picture"
3512,"Assistante, programmation : TIC",3121,"Assistant, programming: ICT"
5322,"Assistante, soins en établissement : âgée ou handicapée",5133,"Assistant, residential care: aged or disabled"
5322,"Assistante, soins de relève",5133,"Assistant, respite care"
5249,"Assistante, ventes : location de voiture",5220,"Assistant, sales: car hire"
5230,"Assistant, ventes: checkout",4211,"Assistant, sales: checkout"
9334,"Assistant, ventes : remplissage étagère, réfrigérateur ou congélateur",9333,"Assistant, sales: filling shelf, fridge or freezer"
5211,"Assistante, ventes : étal de marché",5230,"Assistant, sales: market stall"
9334,"Assistante, ventes : nightfill",9333,"Assistant, sales: nightfill"
5249,"Assistante, ventes : location",5220,"Assistant, sales: rental"
5223,"Assistante, ventes: boutique",5220,"Assistant, sales: shop"
5211,"Assistante, ventes : étal de rue",5230,"Assistant, sales: street stall"
9334,"Assistant, ventes: supermarché (contrôle des stocks)",9333,"Assistant, sales: supermarket (stock control)"
3344,"Assistant, secrétariat: médecins chirurgie",4115,"Assistant, secretarial: doctors surgery"
3344,"Assistant, secrétariat: médical",4115,"Assistant, secretarial: medical"
5223,"Assistant, boutique",5220,"Assistant, shop"
5230,"Assistant, boutique: caisse",4211,"Assistant, shop: checkout"
3411,"Assistant, avocat",3432,"Assistant, solicitor's"
3259,"Assistante, orthophonie",3229,"Assistant, speech therapy"
3314,"Assistant, statistique",3434,"Assistant, statistical"
4227,"Assistante, enquête : entrevue",4190,"Assistant, survey: interviewing"
5312,Aides-enseignants,5131,"Assistant, teacher's"
3255,Techniciens et assistants en physiothérapie,3226,"Assistant, technical: physiotherapy"
3255,"Assistante, thérapie: physiothérapie",3226,"Assistant, therapy: physiotherapy"
3240,"Assistant, vétérinaire",3227,"Assistant, veterinary"
2131,"Associé, recherche : clinique",2211,"Associate, research: clinical"
2131,"Associé, recherche : médical",2211,"Associate, research: medical"
5161,Astrologue,5151,Astrologer
3153,Astronaute,3143,Astronaut
2111,Astronome,2111,Astronomer
2111,Physiciens et astronomes,2111,"Astronomer, radio"
2111,Astrophysicien,2111,Astrophysicist
3421,Athlètes et sportifs de compétition,3475,Athlete
2611,"Attaché, juridique",2429,"Attaché, legal"
4221,"Préposé, aéroport: check-in",5111,"Attendant, airport: check-in"
9333,"Accompagnateur, aéroport : manutention des bagages",9333,"Attendant, airport: handling baggage"
9333,"Préposé, aéroport : rampe",9333,"Attendant, airport: ramp"
3258,"Préposé, ambulance",5132,"Attendant, ambulance"
9629,"Préposé, parc d’attractions",9152,"Attendant, amusement park"
5164,Toiletteurs et gardiens d'animaux,6129,"Attendant, animal"
5132,"Préposé, bar: service de boissons",5123,"Attendant, bar: drinks service"
5246,"Préposé, bar: service de restauration",5220,"Attendant, bar: food service"
5142,"Préposé, bain",5141,"Attendant, bath"
